School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Dr. Henry A. Wise Jr. High,3,Prince George's County,UPPER MARLBORO,MD 
Dr. James A. Forrest Career and Technology Center,NaN,St. Mary's County,LEONARDTOWN,MD 
Dr. James Craik Elementary School,9,Charles County,POMFRET,MD 
Dr. Martin Luther King Jr. Elementary,1,Baltimore city,BALTIMORE,MD 
Dr. Nathan A. Pitts-Ashburton Elementary/Middle,2,Baltimore city,BALTIMORE,MD 
Dr. Rayner Browne Elementary,NaN,Baltimore city,BALTIMORE,MD 
Dr. Sally K. Ride Elementary,5,Montgomery County,GERMANTOWN,MD 
Dr. Samuel A. Mudd Elementary School,5,Charles County,WALDORF,MD 
Dr. Thomas L. Higdon Elementary,7,Charles County,NEWBURG,MD 
Drew Freeman Middle,3,Prince George's County,SUITLAND,MD 
Dublin Elementary,7,Harford County,STREET,MD 
Ducketts Lane,6,Howard County,ELKRIDGE,MD 
DuFief Elementary,8,Montgomery County,GAITHERSBURG,MD 
Dulaney High,8,Baltimore County,TIMONIUM,MD 
Dumbarton Middle,7,Baltimore County,BALTIMORE,MD 
Dundalk Elementary,3,Baltimore County,BALTIMORE,MD 
Dundalk High,3,Baltimore County,BALTIMORE,MD 
Dundalk Middle,3,Baltimore County,BALTIMORE,MD 
Dunloggin Middle,8,Howard County,ELLICOTT CITY,MD 
Duval High,4,Prince George's County,LANHAM,MD 
Dwight D. Eisenhower Middle,3,Prince George's County,LAUREL,MD 
Dynard Elementary,4,St. Mary's County,CHAPTICO,MD 
E. Russell Hicks Middle,5,Washington County,HAGERSTOWN,MD 
Eager Street Academy,NaN,Baltimore city,BALTIMORE,MD 
Earle B. Wood Middle,7,Montgomery County,ROCKVILLE,MD 
East Salisbury Elementary,4,Wicomico County,SALISBURY,MD 
East Silver Spring Elementary,5,Montgomery County,SILVER SPRING,MD 
Eastern Elementary,5,Washington County,HAGERSTOWN,MD 
Eastern Middle School,7,Montgomery County,SILVER SPRING,MD 
Eastern Technical High School,10,Baltimore County,BALTIMORE,MD 
Easton Elementary,5,Talbot County,EASTON,MD 
Easton High,6,Talbot County,EASTON,MD 
Easton Middle,5,Talbot County,EASTON,MD 
Eastport Elementary,5,Anne Arundel County,ANNAPOLIS,MD 
Ebb Valley Elementary,7,Carroll County,MANCHESTER,MD 
Edgecombe Circle Elementary,1,Baltimore city,BALTIMORE,MD 
Edgemere Elementary,5,Baltimore County,BALTIMORE,MD 
Edgewater Elementary,7,Anne Arundel County,EDGEWATER,MD 
Edgewood Elementary,3,Harford County,EDGEWOOD,MD 
Edgewood Elementary,2,Baltimore city,BALTIMORE,MD 
Edgewood High,5,Harford County,EDGEWOOD,MD 
Edgewood Middle,5,Harford County,EDGEWOOD,MD 
Edmondson Heights Elementary,2,Baltimore County,BALTIMORE,MD 
Edmondson-Westside High,3,Baltimore city,BALTIMORE,MD 
Edward M. Felegy ES,NR,Prince George's County,HYATTSVILLE,MD 
Eldersburg Elementary,8,Carroll County,SYKESVILLE,MD 
Eleanor Roosevelt High,7,Prince George's County,GREENBELT,MD 
Elk Neck Elementary,5,Cecil County,ELKTON,MD 
Elkridge Elementary,6,Howard County,ELKRIDGE,MD 
Elkridge Landing Middle,8,Howard County,ELKRIDGE,MD 
Elkton High,4,Cecil County,ELKTON,MD 
Elkton Middle,4,Cecil County,ELKTON,MD 
Ellicott Mills Middle,9,Howard County,ELLICOTT CITY,MD 
Elmer A. Henderson: A Johns Hopkins Partnership Sc,2,Baltimore city,BALTIMORE,MD 
Elmer A. Wolfe Elementary,6,Carroll County,UNION BRIDGE,MD 
Elmwood Elementary,3,Baltimore County,BALTIMORE,MD 
Emma K. Doub Elementary,5,Washington County,HAGERSTOWN,MD 
Emmitsburg Elementary,5,Frederick County,EMMITSBURG,MD 
Emmorton Elementary,8,Harford County,BEL AIR,MD 
Empowerment Academy,2,Baltimore city,BALTIMORE,MD 
Ernest Everett Just Middle,4,Prince George's County,MITCHELLVILLE,MD 
Esperanza Middle,7,St. Mary's County,LEXINGTON PARK,MD 
Essex Elementary,5,Baltimore County,BALTIMORE,MD 
Eutaw-Marshburn Elementary,2,Baltimore city,BALTIMORE,MD 
Eva Turner Elementary School,3,Charles County,WALDORF,MD 
Evening High School,NaN,Washington County,HAGERSTOWN,MD 
Evergreen Elementary School,7,St. Mary's County,CALIFORNIA,MD 
Ewell School,NaN,Somerset County,WESTOVER,MD 
Excel Academy @ Francis M. Wood High,NaN,Baltimore city,BALTIMORE,MD 
Excel Academy Public Charter,4,Prince George's County,LANDOVER,MD 
Extended Day Learning Program,NaN,Baltimore County,TOWSON,MD 
F. B. Gwynn Educational Center,NaN,Charles County,LA PLATA,MD 
Fairland Elementary,5,Montgomery County,SILVER SPRING,MD 
Fairmont Heights High,3,Prince George's County,CAPITOL HEIGHTS,MD 
Fallsmead Elementary,9,Montgomery County,ROCKVILLE,MD 
Fallstaff Elementary,1,Baltimore city,BALTIMORE,MD 
Fallston High,9,Harford County,FALLSTON,MD 
Fallston Middle School,9,Harford County,FALLSTON,MD 
Farmland Elementary,9,Montgomery County,ROCKVILLE,MD 
Featherbed Lane Elementary,3,Baltimore County,BALTIMORE,MD 
Federal Hill Preparatory School,4,Baltimore city,BALTIMORE,MD 
Federalsburg Elementary School,4,Caroline County,FEDERALSBURG,MD 
Ferndale Early Education Center,NaN,Anne Arundel County,GLEN BURNIE,MD 
Fields Road Elementary,7,Montgomery County,GAITHERSBURG,MD 
Fifth District Elementary,8,Baltimore County,UPPERCO,MD 
Flexible Student Support,NaN,Carroll County,WESTMINSTER,MD 
Flintstone Elementary,6,Allegany County,FLINTSTONE,MD 
Flintstone Elementary,2,Prince George's County,OXON HILL,MD 
Flora M. Singer Elementary School,6,Montgomery County,SILVER SPRING,MD 
Flower Hill Elementary,4,Montgomery County,GAITHERSBURG,MD 
Flower Valley Elementary,7,Montgomery County,ROCKVILLE,MD 
Folger Mckinsey Elementary,9,Anne Arundel County,SEVERNA PARK,MD 
Folly Quarter Middle,9,Howard County,ELLICOTT CITY,MD 
Forest Heights Elementary,2,Prince George's County,OXON HILL,MD 
Forest Hill Elementary,9,Harford County,FOREST HILL,MD 
Forest Knolls Elementary,6,Montgomery County,SILVER SPRING,MD 
Forest Lakes Elementary,8,Harford County,FOREST HILL,MD 
Forest Oak Middle,5,Montgomery County,GAITHERSBURG,MD 
Forest Park High,2,Baltimore city,BALTIMORE,MD 
Forest Ridge Elementary,5,Howard County,LAUREL,MD 
Forestville High,2,Prince George's County,FORESTVILLE,MD 
Fort Foote Elementary,3,Prince George's County,FORT WASHINGTON,MD 
Fort Garrison Elementary,7,Baltimore County,BALTIMORE,MD 
Fort Hill High,5,Allegany County,CUMBERLAND,MD 
Fort Smallwood Elementary,7,Anne Arundel County,PASADENA,MD 
Fort Washington Forest Elementary,4,Prince George's County,FORT WASHINGTON,MD 
Fort Worthington Elementary,1,Baltimore city,BALTIMORE,MD 
Fountain Green Elementary,8,Harford County,BEL AIR,MD 
Fountain Rock Elementary,5,Washington County,HAGERSTOWN,MD 
Fountaindale Elementary,7,Washington County,HAGERSTOWN,MD 
Four Seasons Elementary,9,Anne Arundel County,GAMBRILLS,MD 
Fox Chapel Elementary,7,Montgomery County,GERMANTOWN,MD 
Frances Fuchs Early Childhood Center,NaN,Prince George's County,BELTSVILLE,MD 
Francis Scott Key Elementary,3,Prince George's County,DISTRICT HEIGHTS,MD 
Francis Scott Key Elementary/Middle,NaN,Baltimore city,BALTIMORE,MD 
Francis Scott Key High,7,Carroll County,UNION BRIDGE,MD 
Francis Scott Key Middle,4,Montgomery County,SILVER SPRING,MD 
Francis T. Evans Elementary,4,Prince George's County,CLINTON,MD 
Franklin Elementary,7,Baltimore County,REISTERSTOWN,MD 
Franklin High,7,Baltimore County,REISTERSTOWN,MD 
Franklin Middle,5,Baltimore County,REISTERSTOWN,MD 
Franklin Square Elementary,2,Baltimore city,BALTIMORE,MD 
Frederick Classical Charter School,NR,Frederick County,FREDERICK,MD 
Frederick County Career & Technology Center,NaN,Frederick County,FREDERICK,MD 
Frederick County Virtual School,NR,Frederick County,FREDERICK,MD 
Frederick Douglass High,1,Baltimore city,BALTIMORE,MD 
Frederick Douglass High,4,Prince George's County,UPPER MARLBORO,MD 
Frederick Elementary,NaN,Baltimore city,BALTIMORE,MD 
Frederick High,5,Frederick County,FREDERICK,MD 
Freedom District Elementary,8,Carroll County,SYKESVILLE,MD 
Freetown Elementary,5,Anne Arundel County,GLEN BURNIE,MD 
Friendly High,3,Prince George's County,FORT WASHINGTON,MD 
Friendship Academy of Engineering and Technology,2,Baltimore city,BALTIMORE,MD 
Friendship Valley Elementary,7,Carroll County,WESTMINSTER,MD 
Friendsville Elementary,4,Garrett County,FRIENDSVILLE,MD 
Frost Elementary,9,Allegany County,FROSTBURG,MD 
Fruitland Intermediate,4,Wicomico County,FRUITLAND,MD 
Fruitland Primary,NaN,Wicomico County,FRUITLAND,MD 
Fullerton Elementary,6,Baltimore County,BALTIMORE,MD 
Fulton Elementary,9,Howard County,FULTON,MD 
Funkstown Elementary,NaN,Washington County,HAGERSTOWN,MD 
Furley Elementary,2,Baltimore city,BALTIMORE,MD 
Furman Templeton Preparatory Academy,2,Baltimore city,BALTIMORE,MD 
G. James Gholson Middle,3,Prince George's County,LANDOVER,MD 
G. Lisby Elementary at Hillsdale,5,Harford County,ABERDEEN,MD 
Gaithersburg Elementary,3,Montgomery County,GAITHERSBURG,MD 
Gaithersburg High,3,Montgomery County,GAITHERSBURG,MD 
Gaithersburg Middle,4,Montgomery County,GAITHERSBURG,MD 
Gale-Bailey Elementary School,6,Charles County,MARBURY,MD 
Galena Elementary School,6,Kent County,GALENA,MD 
Galway Elementary,6,Montgomery County,SILVER SPRING,MD 
Gardenville Elementary,1,Baltimore city,BALTIMORE,MD 
Garrett Heights Elementary,2,Baltimore city,BALTIMORE,MD 
Garrett Park Elementary,7,Montgomery County,KENSINGTON,MD 
Gateway School,NaN,Carroll County,WESTMINSTER,MD 
Gateway to College Program,NaN,Montgomery County,ROCKVILLE,MD 
Gaywood Elementary,3,Prince George's County,SEABROOK,MD 
General John Stricker Middle,4,Baltimore County,BALTIMORE,MD 
General Smallwood Middle School,4,Charles County,INDIAN HEAD,MD 
George Fox Middle,5,Anne Arundel County,PASADENA,MD 
George T. Cromwell Elementary,6,Anne Arundel County,GLEN BURNIE,MD 
George W. Carver Center for Arts & Technology,10,Baltimore County,TOWSON,MD 
George W. F. McMechen,1,Baltimore city,BALTIMORE,MD 
George Washington Carver Elementary,3,St. Mary's County,GREAT MILLS,MD 
George Washington Elementary,2,Baltimore city,BALTIMORE,MD 
George's Creek Elementary,5,Allegany County,LONACONING,MD 
Georgetown East Elementary,3,Anne Arundel County,ANNAPOLIS,MD 
Georgian Forest Elementary,4,Montgomery County,SILVER SPRING,MD 
Germantown Elementary,6,Montgomery County,GERMANTOWN,MD 
Germantown Elementary,3,Anne Arundel County,ANNAPOLIS,MD 
Gilmor Elementary,1,Baltimore city,BALTIMORE,MD 
Gilpin Manor Elementary,2,Cecil County,ELKTON,MD 
Glade Elementary,8,Frederick County,WALKERSVILLE,MD 
Gladys Noon Spellman Elementary,4,Prince George's County,CHEVERLY,MD 
Glassmanor Elementary,3,Prince George's County,OXON HILL,MD 
Glen Avenue School,3,Wicomico County,SALISBURY,MD 
Glen Burnie High,3,Anne Arundel County,GLEN BURNIE,MD 
Glen Burnie Park Elementary,5,Anne Arundel County,GLEN BURNIE,MD 
Glen Haven Elementary,7,Montgomery County,SILVER SPRING,MD 
Glenallan Elementary,5,Montgomery County,SILVER SPRING,MD 
Glenarden Woods Elementary,10,Prince George's County,GLENARDEN,MD 
Glendale Elementary,5,Anne Arundel County,GLEN BURNIE,MD 
Glenelg High,10,Howard County,GLENELG,MD 
Glenmar Elementary,3,Baltimore County,BALTIMORE,MD 
Glenmount Elementary/Middle,2,Baltimore city,BALTIMORE,MD 
Glenn Dale Elementary,6,Prince George's County,GLENN DALE,MD 
Glenridge Elementary,4,Prince George's County,LANDOVER HILLS,MD 
Glenwood Middle,8,Howard County,GLENWOOD,MD 
Glyndon Elementary,4,Baltimore County,REISTERSTOWN,MD 
Golden Ring Middle,3,Baltimore County,BALTIMORE,MD 
Gorman Crossing Elementary,7,Howard County,LAUREL,MD 
Goshen Elementary,5,Montgomery County,GAITHERSBURG,MD 
Gov. Thomas Johnson High,6,Frederick County,FREDERICK,MD 
Gov. Thomas Johnson Middle,6,Frederick County,FREDERICK,MD 
Govans Elementary,2,Baltimore city,BALTIMORE,MD 
Graceland Park/O'Donnel Heights Elementary,2,Baltimore city,BALTIMORE,MD 
Grange Elementary,3,Baltimore County,BALTIMORE,MD 
Grantsville Elementary,5,Garrett County,GRANTSVILLE,MD 
Grasonville Elementary School,7,Queen Anne's County,GRASONVILLE,MD 
Great Mills High,6,St. Mary's County,GREAT MILLS,MD 
Great Seneca Creek Elementary,4,Montgomery County,GERMANTOWN,MD 
Green Holly Elementary School,5,St. Mary's County,LEXINGTON PARK,MD 
Green Street Academy,2,Baltimore city,BALTIMORE,MD 
Green Valley Academy at Edgar Allan Poe,NaN,Prince George's County,SUITLAND,MD 
Green Valley Elementary,8,Frederick County,MONROVIA,MD 
Greenbelt Elementary,5,Prince George's County,GREENBELT,MD 
Greenbelt Middle,5,Prince George's County,GREENBELT,MD 
Greenbrier Elementary,8,Washington County,BOONSBORO,MD 
Greencastle Elementary,3,Montgomery County,SILVER SPRING,MD 
Greensboro Elementary School,6,Caroline County,GREENSBORO,MD 
Greenview Knolls Elementary,5,St. Mary's County,GREAT MILLS,MD 
Greenwood Elementary,7,Montgomery County,BROOKEVILLE,MD 
Greenwood Elementary School,4,Somerset County,PRINCESS ANNE,MD 
Grove Park Elementary,3,Baltimore city,BALTIMORE,MD 
Guilford Elementary,5,Howard County,COLUMBIA,MD 
Guilford Elementary/Middle,1,Baltimore city,BALTIMORE,MD 
Gunpowder Elementary,6,Baltimore County,BALTIMORE,MD 
Gwynn Park High,3,Prince George's County,BRANDYWINE,MD 
Gwynn Park Middle,4,Prince George's County,BRANDYWINE,MD 
Gwynns Falls Elementary,3,Baltimore city,BALTIMORE,MD 
H. H. Garnett Elementary,4,Kent County,CHESTERTOWN,MD 
H. W. Wheatley Early Childhood Center,NaN,Prince George's County,CAPITOL HEIGHTS,MD 
Halethorpe Elementary,4,Baltimore County,HALETHORPE,MD 
Halls Cross Roads Elementary,3,Harford County,ABERDEEN,MD 
Halstead Academy,3,Baltimore County,BALTIMORE,MD 
Hamilton Elementary/Middle,5,Baltimore city,BALTIMORE,MD 
Hammond Elementary,6,Howard County,LAUREL,MD 
Hammond High,6,Howard County,COLUMBIA,MD 
Hammond Middle School,8,Howard County,LAUREL,MD 
Hampden,6,Baltimore city,BALTIMORE,MD 
Hampstead Elementary,NaN,Carroll County,HAMPSTEAD,MD 
Hampstead Hill Academy,4,Baltimore city,BALTIMORE,MD 
Hampton Elementary,7,Baltimore County,LUTHERVILLE,MD 
Hancock Elementary,6,Washington County,HANCOCK,MD 
Hancock Middle Senior High,5,Washington County,HANCOCK,MD 
Harford Heights Elementary,2,Baltimore city,BALTIMORE,MD 
Harford Hills Elementary,6,Baltimore County,BALTIMORE,MD 
Harford Technical High,8,Harford County,BEL AIR,MD 
Harlem Park Elementary,1,Baltimore city,BALTIMORE,MD 
Harmony Hills Elementary,4,Montgomery County,SILVER SPRING,MD 
Harpers Choice Middle,5,Howard County,COLUMBIA,MD 
Havre de Grace Elementary,6,Harford County,HAVRE DE GRACE,MD 
Havre de Grace High,7,Harford County,HAVRE DE GRACE,MD 
Havre de Grace Middle,7,Harford County,HAVRE DE GRACE,MD 
Hawthorne Elementary,3,Baltimore County,BALTIMORE,MD 
Hazelwood Elementary/Middle,2,Baltimore city,BALTIMORE,MD 
Heather Hills Elementary,9,Prince George's County,BOWIE,MD 
Heather Ridge High School,NaN,Frederick County,FREDERICK,MD 
Heather Ridge Middle School,NaN,Frederick County,FREDERICK,MD 
Hebbville Elementary,4,Baltimore County,BALTIMORE,MD 
Hebron - Harman Elementary,5,Anne Arundel County,HANOVER,MD 
Henry E. Lackey High School,5,Charles County,INDIAN HEAD,MD 
Herbert Hoover Middle,10,Montgomery County,POTOMAC,MD 
Hereford High,9,Baltimore County,PARKTON,MD 
Hereford Middle,9,Baltimore County,MONKTON,MD 
Heritage High School,2,Baltimore city,BALTIMORE,MD 
Hernwood Elementary,4,Baltimore County,RANDALLSTOWN,MD 
Hickory Elementary,3,Washington County,WILLIAMSPORT,MD 
Hickory Elementary,8,Harford County,BEL AIR,MD 
High Bridge Elementary,4,Prince George's County,BOWIE,MD 
High Point Elementary,6,Anne Arundel County,PASADENA,MD 
High Point High,2,Prince George's County,BELTSVILLE,MD 
Highland Elementary,6,Montgomery County,SILVER SPRING,MD 
Highland Park Elementary,5,Prince George's County,LANDOVER,MD 
Highland View Elementary,5,Montgomery County,SILVER SPRING,MD 
Highlandtown Elementary #215,2,Baltimore city,BALTIMORE,MD 
Highlandtown Elementary #237,2,Baltimore city,BALTIMORE,MD 
Hillcrest Elementary,7,Baltimore County,BALTIMORE,MD 
Hillcrest Elementary,3,Frederick County,FREDERICK,MD 
Hillcrest Heights Elementary,2,Prince George's County,TEMPLE HILLS,MD 
Hillsmere Elementary,7,Anne Arundel County,ANNAPOLIS,MD 
Hilltop Elementary,4,Anne Arundel County,GLEN BURNIE,MD 
Hilton Elementary,5,Baltimore city,BALTIMORE,MD 
Holabird Elementary,2,Baltimore city,BALTIMORE,MD 
Holabird Middle,3,Baltimore County,BALTIMORE,MD 
Hollifield Station Elementary,8,Howard County,ELLICOTT CITY,MD 
Holly Hall Elementary,3,Cecil County,ELKTON,MD 
Hollywood Elementary,5,Prince George's County,COLLEGE PARK,MD 
Hollywood Elementary,6,St. Mary's County,HOLLYWOOD,MD 
Home Assignments-Elementary,NaN,Baltimore County,TOWSON,MD 
Home Assignments-Secondary,NaN,Baltimore County,TOWSON,MD 
Homestead/Wakefield Elementary,9,Harford County,BEL AIR,MD 
Homewood School,NaN,Howard County,ELLICOTT CITY,MD 
Howard B. Owens Science Center,NaN,Prince George's County,LANHAM,MD 
Howard High,8,Howard County,ELLICOTT CITY,MD 
Huntingtown Elementary,NaN,Calvert County,HUNTINGTOWN,MD 
Huntingtown High School,9,Calvert County,HUNTINGTOWN,MD 
Hurlock Elementary School,4,Dorchester County,HURLOCK,MD 
Hyattsville Elementary,2,Prince George's County,HYATTSVILLE,MD 
Hyattsville Middle,4,Prince George's County,HYATTSVILLE,MD 
Ilchester Elementary,10,Howard County,ELLICOTT CITY,MD 
Imagine Andrews Public Charter,6,Prince George's County,ANDREWS AFB,MD 
Imagine Foundations at Leeland PCS,5,Prince George's County,UPPER MARLBORO,MD 
Imagine Foundations at Morningside PCS,3,Prince George's County,MORNINGSIDE,MD 
Imagine Lincoln Public Charter,2,Prince George's County,TEMPLE HILLS,MD 
Independence School Local I,2,Baltimore city,BALTIMORE,MD 
Indian Head Elementary School,3,Charles County,INDIAN HEAD,MD 
Indian Queen Elementary,5,Prince George's County,FORT WASHINGTON,MD 
Inner Harbor East Academy,NaN,Baltimore city,BALTIMORE,MD 
International High School @ Langley Park,NR,Prince George's County,BLADENSBURG,MD 
International High school @ Largo,NR,Prince George's County,UPPER MARLBORO,MD 
Isaac J. Gourdine Middle,4,Prince George's County,FORT WASHINGTON,MD 
J. Albert Adams Academy,NaN,Anne Arundel County,ANNAPOLIS,MD 
J. C. Parks Elementary School,4,Charles County,INDIAN HEAD,MD 
J. Frank Dent Elementary,2,Prince George's County,FORT WASHINGTON,MD 
J. M. Tawes Vocational Center,NaN,Somerset County,WESTOVER,MD 
J. P. Ryon Elementary School,5,Charles County,WALDORF,MD 
Jackson Road Elementary,4,Montgomery County,SILVER SPRING,MD 
Jacksonville Elementary,NaN,Baltimore County,PHOENIX,MD 
Jacobsville Elementary,6,Anne Arundel County,PASADENA,MD 
James E. Duckworth Regional Center,NaN,Prince George's County,BELTSVILLE,MD 
James H. Harrison Elementary,4,Prince George's County,LAUREL,MD 
James Hubert Blake High,6,Montgomery County,SILVER SPRING,MD 
James M. Bennett High,5,Wicomico County,SALISBURY,MD 
James Madison Middle,6,Prince George's County,UPPER MARLBORO,MD 
James McHenry Elementary,1,Baltimore city,BALTIMORE,MD 
James McHenry Elementary,3,Prince George's County,LANHAM,MD 
James Mosher Elementary,1,Baltimore city,BALTIMORE,MD 
James Ryder Randall Elementary,3,Prince George's County,CLINTON,MD 
Jarrettsville Elementary,NaN,Harford County,JARRETTSVILLE,MD 
Jeffers Hill Elementary,5,Howard County,COLUMBIA,MD 
Jessie B. Mason Special Center,NaN,Prince George's County,TEMPLE HILLS,MD 
Jessup Elementary,6,Anne Arundel County,JESSUP,MD 
John Archer School,1,Harford County,BEL AIR,MD 
John Eager Howard Elementary,3,Baltimore city,BALTIMORE,MD 
John F. Kennedy High,3,Montgomery County,SILVER SPRING,MD 
John H. Bayne Elementary,2,Prince George's County,CAPITOL HEIGHTS,MD 
John H. Poole Middle,9,Montgomery County,POOLESVILLE,MD 
John Hanson Middle School,5,Charles County,WALDORF,MD 
John Hanson Montessori,6,Prince George's County,OXON HILL,MD 
John Humbird Elementary,5,Allegany County,CUMBERLAND,MD 
John Ruhrah Elementary,2,Baltimore city,BALTIMORE,MD 
John T. Baker Middle School,7,Montgomery County,DAMASCUS,MD 
Johnnycake Elementary,3,Baltimore County,BALTIMORE,MD 
Johnston Square Elementary,1,Baltimore city,BALTIMORE,MD 
Jones Elementary,9,Anne Arundel County,SEVERNA PARK,MD 
Jones Lane Elementary,6,Montgomery County,GAITHERSBURG,MD 
Joppa View Elementary,5,Baltimore County,BALTIMORE,MD 
Joppatowne Elementary,8,Harford County,JOPPA,MD 
Joppatowne High,4,Harford County,JOPPA,MD 
Judge Sylvania W. Woods Sr. Elementary,3,Prince George's County,GLENARDEN,MD 
Judith A. Resnik Elementary,6,Montgomery County,GAITHERSBURG,MD 
Judith P. Hoyer Early Childhood Center,NaN,Dorchester County,CAMBRIDGE,MD 
Judith P. Hoyer Montessori,6,Prince George's County,LANDOVER,MD 
Julius West Middle,8,Montgomery County,ROCKVILLE,MD 
K.A.S.A. (Knowledge And Success Academy),1,Baltimore city,BALTIMORE,MD 
K.I.P.P. Harmony,4,Baltimore city,BALTIMORE,MD 
Kemp Mill Elementary,4,Montgomery County,SILVER SPRING,MD 
Kemptown Elementary,8,Frederick County,MONROVIA,MD 
Kenilworth Elementary,6,Prince George's County,BOWIE,MD 
Kenmoor Early Childhood Center,NR,Prince George's County,LANDOVER,MD 
Kenmoor Elementary,NaN,Prince George's County,LANDOVER,MD 
Kenmoor Middle,6,Prince George's County,LANDOVER,MD 
Kenmore Elementary,5,Cecil County,ELKTON,MD 
Kennard Elementary School,5,Queen Anne's County,CENTREVILLE,MD 
Kensington Parkwood Elementary,8,Montgomery County,KENSINGTON,MD 
Kent County High,4,Kent County,WORTON,MD 
Kent County Middle School,5,Kent County,CHESTERTOWN,MD 
Kent Island Elementary School,NaN,Queen Anne's County,STEVENSVILLE,MD 
Kent Island High School,7,Queen Anne's County,STEVENSVILLE,MD 
