School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Ridgeway Elementary,7,Anne Arundel County,SEVERN,MD 
Ring Factory Elementary,9,Harford County,BEL AIR,MD 
Rippling Woods Elementary,3,Anne Arundel County,GLEN BURNIE,MD 
Rising Sun Elementary,5,Cecil County,RISING SUN,MD 
Rising Sun High,6,Cecil County,NORTH EAST,MD 
Rising Sun Middle School,7,Cecil County,RISING SUN,MD 
Ritchie Park Elementary,8,Montgomery County,ROCKVILLE,MD 
River Hill High,10,Howard County,CLARKSVILLE,MD 
Riverdale Elementary,2,Prince George's County,RIVERDALE,MD 
Riverside Elementary,5,Harford County,JOPPA,MD 
Riverview Elementary,3,Baltimore County,BALTIMORE,MD 
Riviera Beach Elementary,NaN,Anne Arundel County,PASADENA,MD 
Robert D. Stethem Educational Center,NaN,Charles County,POMFRET,MD 
Robert Frost Elementary,5,Prince George's County,NEW CARROLLTON,MD 
Robert Frost Middle School,9,Montgomery County,ROCKVILLE,MD 
Robert Goddard Montessori,9,Prince George's County,SEABROOK,MD 
Robert Moton Elementary,6,Carroll County,WESTMINSTER,MD 
Robert R. Gray Elementary,2,Prince George's County,CAPITAL HEIGHTS,MD 
Robert W. Coleman Elementary,1,Baltimore city,BALTIMORE,MD 
Roberto W. Clemente Middle,7,Montgomery County,GERMANTOWN,MD 
Rock Creek Forest Elementary,6,Montgomery County,CHEVY CHASE,MD 
Rock Creek School,NaN,Frederick County,FREDERICK,MD 
Rock Creek Valley Elementary,7,Montgomery County,ROCKVILLE,MD 
Rock Hall Elementary,NaN,Kent County,ROCK HALL,MD 
Rock Terrace School,1,Montgomery County,ROCKVILLE,MD 
Rock View Elementary,5,Montgomery County,KENSINGTON,MD 
Rockburn Elementary,9,Howard County,ELKRIDGE,MD 
Rockland Woods Elementary,5,Washington County,HAGERSTOWN,MD 
Rockledge Elementary,4,Prince George's County,BOWIE,MD 
Rockville High,5,Montgomery County,ROCKVILLE,MD 
Rocky Hill Middle,8,Montgomery County,CLARKSBURG,MD 
Rodgers Forge Elementary,9,Baltimore County,BALTIMORE,MD 
Rogers Heights Elementary,3,Prince George's County,BLADENSBURG,MD 
Rognel Heights Elementary/Middle,1,Baltimore city,BALTIMORE,MD 
Roland Park Elementary/Middle,8,Baltimore city,BALTIMORE,MD 
Rolling Knolls Elementary,6,Anne Arundel County,ANNAPOLIS,MD 
Rolling Terrace Elementary,4,Montgomery County,TAKOMA PARK,MD 
Ronald A. McNair Elementary,9,Montgomery County,GERMANTOWN,MD 
Roots and Branches School,1,Baltimore city,BALTIMORE,MD 
Rosa L. Parks Elementary,3,Prince George's County,HYATTSVILLE,MD 
Rosa M. Parks Middle,9,Montgomery County,OLNEY,MD 
Rosaryville Elementary,2,Prince George's County,UPPER MARLBORO,MD 
Roscoe R Nix Elementary,NaN,Montgomery County,SILVER SPRING,MD 
Rose Valley Elementary,3,Prince George's County,FORT WASHINGTON,MD 
Rosedale Center,NaN,Baltimore County,BALTIMORE,MD 
Rosemary Hills Elementary,NaN,Montgomery County,SILVER SPRING,MD 
Rosemont Elementary,5,Montgomery County,GAITHERSBURG,MD 
Rosemont Elementary,4,Baltimore city,BALTIMORE,MD 
Route 40 Elementary,5,Garrett County,FROSTBURG,MD 
Roye-Williams Elementary,6,Harford County,HAVRE DE GRACE,MD 
Running Brook Elementary,4,Howard County,COLUMBIA,MD 
Runnymede Elementary,7,Carroll County,WESTMINSTER,MD 
Ruth Ann Monroe Primary,NaN,Washington County,HAGERSTOWN,MD 
Ruth Parker Eason School,NaN,Anne Arundel County,MILLERSVILLE,MD 
S. Christa McAuliffe Elementary,5,Montgomery County,GERMANTOWN,MD 
Sabillasville Elementary,NaN,Frederick County,SABILLASVILLE,MD 
Salem Avenue Elementary,5,Washington County,HAGERSTOWN,MD 
Salisbury Middle,5,Wicomico County,SALISBURY,MD 
Samuel Chase Elementary,5,Prince George's County,TEMPLE HILLS,MD 
Samuel F. B. Morse Elementary,1,Baltimore city,BALTIMORE,MD 
Samuel Ogle Middle,7,Prince George's County,BOWIE,MD 
Samuel P. Massie Academy,2,Prince George's County,FORESTVILLE,MD 
Sandalwood Elementary,4,Baltimore County,BALTIMORE,MD 
Sandy Hill Elementary,2,Dorchester County,CAMBRIDGE,MD 
Sandy Plains Elementary,3,Baltimore County,BALTIMORE,MD 
Sandymount Elementary,7,Carroll County,FINKSBURG,MD 
Sarah M. Roach Elementary,2,Baltimore city,BALTIMORE,MD 
Sargent Shriver Elementary,4,Montgomery County,SILVER SPRING,MD 
Scholars K-8,NR,Baltimore County,BALTIMORE,MD 
Scotchtown Hills Elementary,4,Prince George's County,LAUREL,MD 
Scotts Branch Elementary,2,Baltimore County,BALTIMORE,MD 
Seabrook Elementary,5,Prince George's County,SEABROOK,MD 
Seat Pleasant Elementary,2,Prince George's County,SEAT PLEASANT,MD 
Seneca Elementary,6,Baltimore County,BALTIMORE,MD 
Seneca Valley High,4,Montgomery County,GERMANTOWN,MD 
Sequoyah Elementary,5,Montgomery County,DERWOOD,MD 
Seven Locks Elementary,10,Montgomery County,BETHESDA,MD 
Seven Oaks Elementary,7,Baltimore County,BALTIMORE,MD 
Seven Oaks Elementary,6,Anne Arundel County,ODENTON,MD 
Seventh District Elementary,9,Baltimore County,PARKTON,MD 
Severn Elementary,7,Anne Arundel County,SEVERN,MD 
Severn River Middle,7,Anne Arundel County,ARNOLD,MD 
Severna Park Elementary,9,Anne Arundel County,SEVERNA PARK,MD 
Severna Park High,7,Anne Arundel County,SEVERNA PARK,MD 
Severna Park Middle,9,Anne Arundel County,SEVERNA PARK,MD 
Shady Grove Middle,6,Montgomery County,GAITHERSBURG,MD 
Shady Side Elementary,7,Anne Arundel County,SHADY SIDE,MD 
Shady Spring Elementary,4,Baltimore County,BALTIMORE,MD 
Sharp-Leadenhall Elementary,NaN,Baltimore city,BALTIMORE,MD 
Sharpsburg Elementary,NaN,Washington County,SHARPSBURG,MD 
Sherwood Elementary,6,Montgomery County,SANDY SPRING,MD 
Sherwood High,7,Montgomery County,SANDY SPRING,MD 
Shiloh Middle,8,Carroll County,HAMPSTEAD,MD 
Shipley's Choice Elementary,9,Anne Arundel County,MILLERSVILLE,MD 
Showell Elementary,9,Worcester County,BERLIN,MD 
Silver Spring International Middle,6,Montgomery County,SILVER SPRING,MD 
Sinclair Lane Elementary,2,Baltimore city,BALTIMORE,MD 
Skyline Elementary,3,Prince George's County,SUITLAND,MD 
Sligo Creek Elementary,6,Montgomery County,SILVER SPRING,MD 
Sligo Middle,5,Montgomery County,SILVER SPRING,MD 
Smithsburg Elementary,5,Washington County,SMITHSBURG,MD 
Smithsburg High,8,Washington County,SMITHSBURG,MD 
Smithsburg Middle,8,Washington County,SMITHSBURG,MD 
Snow Hill Elementary,7,Worcester County,SNOW HILL,MD 
Snow Hill High,5,Worcester County,SNOW HILL,MD 
Snow Hill Middle,7,Worcester County,SNOW HILL,MD 
Sollers Point/Southeastern Technical High,NaN,Baltimore County,BALTIMORE,MD 
Solley Elementary,6,Anne Arundel County,GLEN BURNIE,MD 
Somerset 6/7 Intermediate School,6,Somerset County,WESTOVER,MD 
Somerset Elementary,9,Montgomery County,CHEVY CHASE,MD 
South Carroll High,8,Carroll County,SYKESVILLE,MD 
South Dorchester School,8,Dorchester County,CHURCH CREEK,MD 
South Hagerstown High,5,Washington County,HAGERSTOWN,MD 
South Lake Elementary,3,Montgomery County,GAITHERSBURG,MD 
South Penn Elementary,4,Allegany County,CUMBERLAND,MD 
South River High,7,Anne Arundel County,EDGEWATER,MD 
South Shore Elementary,9,Anne Arundel County,CROWNSVILLE,MD 
Southampton Middle,9,Harford County,BEL AIR,MD 
Southern Garrett High School,6,Garrett County,OAKLAND,MD 
Southern High,6,Anne Arundel County,HARWOOD,MD 
Southern Middle,7,Anne Arundel County,LOTHIAN,MD 
Southern Middle,5,Calvert County,LUSBY,MD 
Southern Middle School,5,Garrett County,OAKLAND,MD 
Southgate Elementary,5,Anne Arundel County,GLEN BURNIE,MD 
Southwest Academy,4,Baltimore County,BALTIMORE,MD 
Southwest Baltimore Charter School,2,Baltimore city,BALTIMORE,MD 
Spark M. Matsunaga Elementary School,8,Montgomery County,GERMANTOWN,MD 
Sparks Elementary,9,Baltimore County,SPARKS,MD 
Sparrows Point High,7,Baltimore County,SPARROWS POINT,MD 
Sparrows Point Middle,4,Baltimore County,BALTIMORE,MD 
Spring Garden Elementary,7,Carroll County,HAMPSTEAD,MD 
Spring Ridge Elementary,6,Frederick County,FREDERICK,MD 
Spring Ridge Middle,6,St. Mary's County,LEXINGTON PARK,MD 
Springbrook High,4,Montgomery County,SILVER SPRING,MD 
Springfield Middle,5,Washington County,WILLIAMSPORT,MD 
Springhill Lake Elementary,2,Prince George's County,GREENBELT,MD 
St Leonard Elementary,5,Calvert County,ST LEONARD,MD 
St. Charles High School,4,Charles County,WALDORF,MD 
St. Johns Lane Elementary,9,Howard County,ELLICOTT CITY,MD 
St. Mary's County Evening High,NaN,St. Mary's County,LEONARDTOWN,MD 
St. Michaels Elementary,6,Talbot County,ST MICHAELS,MD 
St. Michaels Middle/High School,6,Talbot County,ST MICHAELS,MD 
Stadium School,3,Baltimore city,BALTIMORE,MD 
Stedwick Elementary,3,Montgomery County,MONTGOMERY VILLAGE,MD 
Stemmers Run Middle,3,Baltimore County,BALTIMORE,MD 
Stephen Decatur High,5,Worcester County,BERLIN,MD 
Stephen Decatur Middle,3,Prince George's County,CLINTON,MD 
Stephen Decatur Middle,8,Worcester County,BERLIN,MD 
Stephen Knolls School,NaN,Montgomery County,KENSINGTON,MD 
Steuart Hill Academic Academy,2,Baltimore city,BALTIMORE,MD 
Stevens Forest Elementary,5,Howard County,COLUMBIA,MD 
Stevensville Middle School,6,Queen Anne's County,STEVENSVILLE,MD 
Stone Mill Elementary,9,Montgomery County,NORTH POTOMAC,MD 
Stonegate Elementary,7,Montgomery County,SILVER SPRING,MD 
Stoneleigh Elementary,8,Baltimore County,BALTIMORE,MD 
Strathmore Elementary,5,Montgomery County,SILVER SPRING,MD 
Strawberry Knoll Elementary,5,Montgomery County,GAITHERSBURG,MD 
Studio 39,NR,Anne Arundel County,ANNAPOLIS,MD 
Sudbrook Magnet Middle,8,Baltimore County,BALTIMORE,MD 
Sudlersville Elementary School,4,Queen Anne's County,SUDLERSVILLE,MD 
Sudlersville Middle School,7,Queen Anne's County,SUDLERSVILLE,MD 
Suitland Elementary,2,Prince George's County,SUITLAND,MD 
Suitland High,2,Prince George's County,FORESTVILLE,MD 
Summit Hall Elementary,4,Montgomery County,GAITHERSBURG,MD 
Summit Park Elementary,8,Baltimore County,BALTIMORE,MD 
Sunderland Elementary,8,Calvert County,SUNDERLAND,MD 
Sunset Elementary,6,Anne Arundel County,PASADENA,MD 
Surrattsville High,2,Prince George's County,CLINTON,MD 
Sussex Elementary,4,Baltimore County,BALTIMORE,MD 
Swan Meadow School,NaN,Garrett County,OAKLAND,MD 
Swansfield Elementary,5,Howard County,COLUMBIA,MD 
Sykesville Middle,8,Carroll County,SYKESVILLE,MD 
T. C. Martin Elementary School,8,Charles County,BRYANTOWN,MD 
Takoma Park Elementary,NaN,Montgomery County,TAKOMA PARK,MD 
Takoma Park Middle School,9,Montgomery County,SILVER SPRING,MD 
Talbott Springs Elementary,5,Howard County,COLUMBIA,MD 
Tall Oaks High,1,Prince George's County,BOWIE,MD 
Taneytown Elementary,5,Carroll County,TANEYTOWN,MD 
Tanglewood Regional Center,NaN,Prince George's County,CLINTON,MD 
Tayac Elementary,4,Prince George's County,FORT WASHINGTON,MD 
Templeton Elementary,3,Prince George's County,RIVERDALE,MD 
Tench Tilghman Elementary,1,Baltimore city,BALTIMORE,MD 
The Crossroads School,4,Baltimore city,BALTIMORE,MD 
The Green School,4,Baltimore city,BALTIMORE,MD 
The Historic Samuel Coleridge-Taylor Elementary,1,Baltimore city,BALTIMORE,MD 
The Mount Washington School,6,Baltimore city,BALTIMORE,MD 
The Reach! Partnership School,1,Baltimore city,BALTIMORE,MD 
The Seed School of Maryland,3,Baltimore city,BALTIMORE,MD 
Theodore G. Davis Middle School,7,Charles County,WALDORF,MD 
Thomas Claggett Elementary,NaN,Prince George's County,DISTRICT HEIGHTS,MD 
Thomas Edison High School of Technology,NaN,Montgomery County,SILVER SPRING,MD 
Thomas G. Pullen School,6,Prince George's County,LANDOVER,MD 
Thomas Jefferson Elementary,2,Baltimore city,BALTIMORE,MD 
Thomas Johnson Elementary,6,Baltimore city,BALTIMORE,MD 
Thomas Johnson Middle,4,Prince George's County,LANHAM,MD 
Thomas S. Stone Elementary,3,Prince George's County,MT RAINIER,MD 
Thomas S. Wootton High,9,Montgomery County,ROCKVILLE,MD 
Thomas Stone High School,5,Charles County,WALDORF,MD 
Thomas Viaduct,5,Howard County,HANOVER,MD 
Thomas W. Pyle Middle School,10,Montgomery County,BETHESDA,MD 
Thomson Estates Elementary,4,Cecil County,ELKTON,MD 
Thunder Hill Elementary,7,Howard County,COLUMBIA,MD 
Thurgood Marshall Elementary,6,Montgomery County,GAITHERSBURG,MD 
Thurgood Marshall Middle School,3,Prince George's County,TEMPLE HILLS,MD 
Thurmont Elementary,6,Frederick County,THURMONT,MD 
Thurmont Middle,6,Frederick County,THURMONT,MD 
Thurmont Primary,NaN,Frederick County,THURMONT,MD 
Tilden Middle School,8,Montgomery County,ROCKVILLE,MD 
Tilghman Elementary,NaN,Talbot County,TILGHMAN,MD 
Timber Grove Elementary,4,Baltimore County,OWINGS MILLS,MD 
Timonium Elementary,9,Baltimore County,TIMONIUM,MD 
Town Creek Elementary,NaN,St. Mary's County,LEXINGTON PARK,MD 
Towson High Law & Public Policy,9,Baltimore County,TOWSON,MD 
Traceys Elementary,6,Anne Arundel County,TRACEYS LANDING,MD 
Travilah Elementary,9,Montgomery County,NORTH POTOMAC,MD 
Triadelphia Ridge Elementary,9,Howard County,ELLICOTT CITY,MD 
Tulip Grove Elementary,6,Prince George's County,BOWIE,MD 
Tunbridge Public Charter School,5,Baltimore city,BALTIMORE,MD 
Turning Point Academy Public Charter,4,Prince George's County,LANHAM,MD 
Tuscarora Elementary,7,Frederick County,FREDERICK,MD 
Tuscarora High,6,Frederick County,FREDERICK,MD 
Twin Ridge Elementary,8,Frederick County,MT AIRY,MD 
Twinbrook Elementary,4,Montgomery County,ROCKVILLE,MD 
Tyler Heights Elementary,2,Anne Arundel County,ANNAPOLIS,MD 
University Park Elementary,5,Prince George's County,HYATTSVILLE,MD 
Urbana Elementary,9,Frederick County,FREDERICK,MD 
Urbana High,9,Frederick County,IJAMSVILLE,MD 
Urbana Middle,10,Frederick County,IJAMSVILLE,MD 
Valley Elementary,7,Frederick County,JEFFERSON,MD 
Valley View Elementary,5,Prince George's County,OXON HILL,MD 
Van Bokkelen Elementary,5,Anne Arundel County,SEVERN,MD 
Vanguard Collegiate Middle School,2,Baltimore city,BALTIMORE,MD 
Vansville Elementary,6,Prince George's County,BELTSVILLE,MD 
Veterans Elementary,8,Howard County,ELLICOTT CITY,MD 
Victory Villa Elementary,6,Baltimore County,BALTIMORE,MD 
Vienna Elementary School,4,Dorchester County,VIENNA,MD 
Viers Mill Elementary,6,Montgomery County,SILVER SPRING,MD 
Villa Cresta Elementary,4,Baltimore County,BALTIMORE,MD 
Vincent Farm Elementary,6,Baltimore County,WHITE MARSH,MD 
Violetville Elementary/Middle,3,Baltimore city,BALTIMORE,MD 
Vivien T. Thomas Medical Arts Academy,2,Baltimore city,BALTIMORE,MD 
W.E.B. DuBois High,1,Baltimore city,BALTIMORE,MD 
Waldon Woods Elementary,4,Prince George's County,CLINTON,MD 
Walker Mill Middle,5,Prince George's County,CAPITOL HEIGHTS,MD 
Walkersville Elementary,6,Frederick County,WALKERSVILLE,MD 
Walkersville High,8,Frederick County,WALKERSVILLE,MD 
Walkersville Middle,7,Frederick County,WALKERSVILLE,MD 
Walt Whitman High,8,Montgomery County,BETHESDA,MD 
Walter J. Mitchell Elementary,5,Charles County,LA PLATA,MD 
Walter Johnson High,9,Montgomery County,BETHESDA,MD 
Walter P. Carter Elementary,2,Baltimore city,BALTIMORE,MD 
Walter S. Mills - Parole Elementary,3,Anne Arundel County,ANNAPOLIS,MD 
Warren Elementary,5,Baltimore County,COCKEYSVILLE,MD 
Warwick Elementary School,5,Dorchester County,SECRETARY,MD 
Washington Academy and High School,4,Somerset County,PRINCESS ANNE,MD 
Washington County Job Development Center,NaN,Washington County,HAGERSTOWN,MD 
Washington County Technical High,8,Washington County,HAGERSTOWN,MD 
Washington Grove Elementary,5,Montgomery County,GAITHERSBURG,MD 
Washington Middle,6,Allegany County,CUMBERLAND,MD 
Waterloo Elementary,7,Howard County,COLUMBIA,MD 
Waters Landing Elementary,5,Montgomery County,GERMANTOWN,MD 
Watkins Mill Elementary,3,Montgomery County,MONTGOMERY VILLAGE,MD 
Watkins Mill High,4,Montgomery County,GAITHERSBURG,MD 
Waugh Chapel Elementary,9,Anne Arundel County,ODENTON,MD 
Waverley Elementary,4,Frederick County,FREDERICK,MD 
Waverly Elementary,2,Baltimore city,BALTIMORE,MD 
Waverly Elementary,9,Howard County,ELLICOTT CITY,MD 
Wayside Elementary,9,Montgomery County,BETHESDA,MD 
Weller Road Elementary,5,Montgomery County,SILVER SPRING,MD 
Wellwood International Elementary,7,Baltimore County,PIKESVILLE,MD 
West Annapolis Elementary at Annapolis Middle,9,Anne Arundel County,ANNAPOLIS,MD 
West Frederick Middle,5,Frederick County,FREDERICK,MD 
West Friendship Elementary,9,Howard County,WEST FRIENDSHIP,MD 
West Meade Early Education Center,NaN,Anne Arundel County,FT MEADE,MD 
West Salisbury Elementary,NaN,Wicomico County,SALISBURY,MD 
West Side Elementary,5,Allegany County,CUMBERLAND,MD 
West Towson Elementary,9,Baltimore County,BALTIMORE,MD 
Westbrook Elementary,8,Montgomery County,BETHESDA,MD 
Westchester Elementary,5,Baltimore County,BALTIMORE,MD 
Western Heights Middle,5,Washington County,HAGERSTOWN,MD 
Western High,6,Baltimore city,BALTIMORE,MD 
Western School of Technology & Env. Science,10,Baltimore County,BALTIMORE,MD 
Westernport Elementary,5,Allegany County,WESTERNPORT,MD 
Westlake High School,5,Charles County,WALDORF,MD 
Westland Middle,8,Montgomery County,BETHESDA,MD 
Westmar Middle,5,Allegany County,LONACONING,MD 
Westminster East Middle,8,Carroll County,WESTMINSTER,MD 
Westminster Elementary,8,Carroll County,WESTMINSTER,MD 
Westminster High,8,Carroll County,WESTMINSTER,MD 
Westminster West Middle,8,Carroll County,WESTMINSTER,MD 
Westover Elementary,9,Montgomery County,SILVER SPRING,MD 
Westowne Elementary,5,Baltimore County,CATONSVILLE,MD 
Westport Academy,1,Baltimore city,BALTIMORE,MD 
Westside Elementary,1,Baltimore city,BALTIMORE,MD 
Westside Intermediate,5,Wicomico County,HEBRON,MD 
Westside Primary,NaN,Wicomico County,QUANTICO,MD 
Wheaton High,4,Montgomery County,SILVER SPRING,MD 
Wheaton Woods Elementary,7,Montgomery County,ROCKVILLE,MD 
Whetstone Elementary,5,Montgomery County,GAITHERSBURG,MD 
White Marsh Elementary,6,Talbot County,TRAPPE,MD 
White Marsh Elementary,8,St. Mary's County,MECHANICSVILLE,MD 
White Oak Middle,6,Montgomery County,SILVER SPRING,MD 
White Oak School,NaN,Baltimore County,PARKVILLE,MD 
Whitehall Elementary,9,Prince George's County,BOWIE,MD 
Whittier Elementary,7,Frederick County,FREDERICK,MD 
Wicomico County Evening High,NaN,Wicomico County,SALISBURY,MD 
Wicomico High,3,Wicomico County,SALISBURY,MD 
Wicomico Middle,4,Wicomico County,SALISBURY,MD 
Wilde Lake High,6,Howard County,COLUMBIA,MD 
Wilde Lake Middle,5,Howard County,COLUMBIA,MD 
Wiley H. Bates Middle,6,Anne Arundel County,ANNAPOLIS,MD 
Willards Elementary,NaN,Wicomico County,WILLARDS,MD 
William A. Diggs Elementary,5,Charles County,WALDORF,MD 
William B. Gibbs Jr.,6,Montgomery County,GERMANTOWN,MD 
William B. Wade Elementary School,6,Charles County,WALDORF,MD 
William Beanes Elementary,2,Prince George's County,SUITLAND,MD 
William H. Farquhar Middle,8,Montgomery County,OLNEY,MD 
William Paca Elementary,2,Baltimore city,BALTIMORE,MD 
William Paca Elementary,3,Prince George's County,LANDOVER,MD 
William Paca/Old Post Road Elementary,4,Harford County,ABINGDON,MD 
William Pinderhughes Elementary,2,Baltimore city,BALTIMORE,MD 
William S. Baer School,NaN,Baltimore city,BALTIMORE,MD 
William S. James Elementary,7,Harford County,ABINGDON,MD 
William Schmidt Environmental Center,NaN,Prince George's County,BRANDYWINE,MD 
William Tyler Page Elementary,6,Montgomery County,SILVER SPRING,MD 
William W. Hall Academy,3,Prince George's County,CAPITOL HEIGHTS,MD 
William Winchester Elementary,7,Carroll County,WESTMINSTER,MD 
William Wirt Middle,3,Prince George's County,RIVERDALE,MD 
Williamsport Elementary,7,Washington County,WILLIAMSPORT,MD 
Williamsport High,4,Washington County,WILLIAMSPORT,MD 
Wilson Wims Elementary School,7,Montgomery County,CLARKSBURG,MD 
Winand Elementary,4,Baltimore County,BALTIMORE,MD 
Windsor Farm Elementary,8,Anne Arundel County,ANNAPOLIS,MD 
Windsor Hills Elementary,3,Baltimore city,BALTIMORE,MD 
Windsor Knolls Middle,9,Frederick County,IJAMSVILLE,MD 
Windsor Mill Middle,3,Baltimore city,BALTIMORE,MD 
Windy Hill Elementary,6,Calvert County,OWINGS,MD 
Windy Hill Middle,8,Calvert County,OWINGS,MD 
Winfield Elementary,3,Baltimore County,BALTIMORE,MD 
Winfield Elementary,7,Carroll County,WESTMINSTER,MD 
Winston Churchill High,10,Montgomery County,POTOMAC,MD 
Winter Street Elementary,3,Washington County,HAGERSTOWN,MD 
Winters Mill High,7,Carroll County,WESTMINSTER,MD 
Wolfe Street Academy,2,Baltimore city,BALTIMORE,MD 
Wolfsville Elementary,7,Frederick County,MYERSVILLE,MD 
Wood Acres Elementary,9,Montgomery County,BETHESDA,MD 
Woodbridge Elementary,7,Baltimore County,BALTIMORE,MD 
Woodfield Elementary,8,Montgomery County,GAITHERSBURG,MD 
Woodholme Elementary,6,Baltimore County,BALTIMORE,MD 
Woodhome Elementary/Middle,2,Baltimore city,BALTIMORE,MD 
Woodlawn High Center for Pre-Eng. Res.,3,Baltimore County,BALTIMORE,MD 
Woodlawn Middle,3,Baltimore County,BALTIMORE,MD 
Woodlin Elementary,6,Montgomery County,SILVER SPRING,MD 
Woodmoor Elementary,3,Baltimore County,BALTIMORE,MD 
Woodmore Elementary,6,Prince George's County,MITCHELLVILLE,MD 
Woodridge Elementary,4,Prince George's County,HYATTSVILLE,MD 
Woodside Elementary,5,Anne Arundel County,GLEN BURNIE,MD 
Worcester Technical High School,NaN,Worcester County,NEWARK,MD 
Worthington Elementary,9,Howard County,ELLICOTT CITY,MD 
Worton Elementary,3,Kent County,WORTON,MD 
Wyngate Elementary,9,Montgomery County,BETHESDA,MD 
Yellow Springs Elementary,6,Frederick County,FREDERICK,MD 
Yorktown Elementary,8,Prince George's County,BOWIE,MD 
Yorkwood Elementary,3,Baltimore city,BALTIMORE,MD 
Yough Glades Elementary,5,Garrett County,OAKLAND,MD 
Youths Benefit Elementary,9,Harford County,FALLSTON,MD 
